ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
-0.29,Star Trek Beyond,The USS Enterprise crew explores the furthest reaches of uncharted space where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.,2,hatred|sequel|space opera|star trek|third part,Action Adventure Sci-Fi,22-Jul-16,122,Justin Lin,Sofia Boutella,41770,Melissa Roxburgh,0,Lydia Wilson,1657,7.1,147736,68,185000000,185000000,English,USA,PG-13,2.35
0.24,WALLÂ·E,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.,1,earth|obesity|plant|robot|soil,Animation Adventure Family,27-Jun-08,98,Andrew Stanton,John Ratzenberger,120265,Fred Willard,121412,Jeff Garlin,0,8.4,758265,94,180000000,180000000,English,USA,G,2.35
0,Rush Hour 3,After an attempted assassination on Ambassador Han Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.,1,ambassador|assassination|chinese|french|triad,Action Comedy Crime,10-Aug-07,91,Brett Ratner,Tzi Ma,0,Dana Ivey,1520,NoÃ©mie Lenoir,0,6.2,125309,44,140000000,140000000,English,USA,PG-13,2.35
-0.17,2012,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,1,ark|catastrophe|geologist|president|writer,Action Adventure Sci-Fi,13-Nov-09,158,Roland Emmerich,Oliver Platt,22732,Liam James,6231,Tom McCarthy,15007,5.8,293855,49,200000000,200000000,English,USA,PG-13,2.35
-0.31,A Christmas Carol,An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption courtesy of several mysterious Christmas apparitions.,3,charles dickens|christmas|christmas eve|ghost|scrooge,Animation Drama Family,6-Nov-09,96,Robert Zemeckis,Robin Wright,120563,Colin Firth,0,Gary Oldman,0,6.8,77870,55,200000000,200000000,English,USA,PG,2.35
-0.73,Jupiter Ascending,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,Action Adventure Sci-Fi,6-Feb-15,127,Lana Wachowski,Channing Tatum,8692274,Mila Kunis,0,Eddie Redmayne,407624,5.4,146712,40,176000000,176000000,English,USA,PG-13,2.35
-0.31,The Legend of Tarzan,Tarzan having acclimated to life in London is called back to his former home in the jungle to investigate the activities at a mining encampment.,1,africa|capture|jungle|male objectification|tarzan,Action Adventure Drama,1-Jul-16,110,David Yates,Christoph Waltz,0,Alexander SkarsgÃ¥rd,0,Casper Crump,14449,6.3,105115,44,180000000,180000000,English,USA,PG-13,2.35
0.62,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,2,hide and seek|lion|magic|professor|snow,Adventure Family Fantasy,9-Dec-05,143,Andrew Adamson,Jim Broadbent,0,Kiran Shah,1540,Shane Rangi,0,6.9,298623,75,180000000,180000000,English,USA,PG,2.35
-0.13,X-Men: Apocalypse,After the re-emergence of the world's first mutant world-destroyer Apocalypse the X-Men must unite to defeat his extinction level plan.,1,mutant|superhero|superhero team|x men|year 1983,Action Adventure Sci-Fi,27-May-16,144,Bryan Singer,Jennifer Lawrence,13156,Michael Fassbender,45301,Tye Sheridan,723,7.1,243681,52,178000000,178000000,English,USA,PG-13,2.35
1.88,The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.,3,based on comic book|dc comics|psychopath|star died before release|urban setting,Action Crime Drama,18-Jul-08,152,Christopher Nolan,Christian Bale,56075,Heath Ledger,0,Morgan Freeman,27647,9,1754213,82,185000000,185000000,English,USA,PG-13,2.35
